-> To import the database, do the following in command line:

$ mysqladmin create ULVZ_DB
$ mysql ULVZ_DB < ULVZ_DB.MariaDB.sql

-> An ascii format of the database:

+------+-----------+-------+--------+-------+-----------+-------------------------------+-----------------+---------------------------------------------------------------+--------+-------+--------+-----------------------------------------------------------------------------------------------------------------------------------------+
| Ref  | Code      | dVp   | dVs    | dRho  | Thickness | PaperName                     | Phase_Method    | Region_Detection                                              | Period | Dist  | Az     | Notes                                                                                                                                   |
|   17 | Kraton    |   -25 |    -44 |     9 |         6 | Ross et al. [2004]            | PcP(w)          | North Siberia(y)                                              |    0.5 |  NULL |   NULL | Preferred model is 2-layer model. Numbers here are for the bottom layer. Top layer is: dVp=-10%,dVs=-37%,H=1.2km,dRho=9%.               |
|   18 | event1_2  |   -18 |    -50 |  NULL |        20 | Rondenay and Fischer [2003]   | SKS(w)          | North America(y)                                              |     10 |  NULL |   NULL | ULVZ has a diffuse upper boundary.                                                                                                      |
|   18 | event3    |  NULL |   NULL |  NULL |      NULL | Rondenay and Fischer [2003]   | SKS(w)          | North America(n)                                              |     10 |  NULL |   NULL | NULL                                                                                                                                    |
|   18 | NWP       |  NULL |   NULL |  NULL |      NULL | Rondenay and Fischer [2003]   | SKS(w)          | NorthWest Pacific(n)                                          |     10 |  NULL |   NULL | NULL                                                                                                                                    |
|   19 | yPI       |  -7.5 |    -30 |   7.5 |        10 | Idehara [2011]                | ScP(w)          | Philippine Sea(y)                                             |    1.3 |    41 |     25 | NULL                                                                                                                                    |
|   19 | PI_BSL    | -14.5 |  -47.5 |  22.5 |         5 | Idehara [2011]                | ScP(w)          | Philippine Sea(y)                                             |    1.3 |    41 |     25 | For basal layer region, overall height is 10km. Numbers here are for the basal layer. Top layer is: dVp=-10%,dVs=-30%,H=5km,dRho=22.5%. |
|   19 | nPI       |  NULL |   NULL |  NULL |      NULL | Idehara [2011]                | ScP(w)          | Philippine Sea(n)                                             |    1.3 |    41 |     25 | NULL                                                                                                                                    |
|   19 | wPI       |  NULL |   NULL |  NULL |      NULL | Idehara [2011]                | ScP(w)          | Philippine Sea(w)                                             |    1.3 |    41 |     25 | NULL                                                                                                                                    |
|   20 | NP        |  NULL |   NULL |  NULL |      NULL | Rost and Thomas [2010]        | PcP(m)          | Alaska(n)                                                     |      1 |  27.5 |   68.4 | NULL                                                                                                                                    |
|   21 | NE        |  NULL |   NULL |  NULL |      NULL | Rost et al. [2010]            | PcP(w)          | NorthEast Pacific(n)                                          |      1 |    37 |   58.6 | NULL                                                                                                                                    |
|   21 | N         |  NULL |   NULL |  NULL |      NULL | Rost et al. [2010]            | PcP(w)          | NorthEast Pacific(n)                                          |      1 |  42.4 |    7.2 | NULL                                                                                                                                    |
|   22 | yRegion1  |   -10 |    -30 |    10 |       5.5 | Rost et al. [2010]            | ScP(w)          | Coral Sea(y)                                                  |      1 |    44 |    -88 | NULL                                                                                                                                    |
|   22 | yRegion2  |   -10 |    -30 |    10 |       2.5 | Rost et al. [2010]            | ScP(w)          | Coral Sea(y)                                                  |    1.1 |  33.5 |    -98 | NULL                                                                                                                                    |
|   22 | nRegion1  |  NULL |   NULL |  NULL |      NULL | Rost et al. [2010]            | ScP(w)          | Coral Sea(n)                                                  |      1 |    44 |    -88 | NULL                                                                                                                                    |
|   22 | nRegion2  |  NULL |   NULL |  NULL |      NULL | Rost et al. [2010]            | ScP(w)          | Coral Sea(n)                                                  |    1.1 |  33.5 |    -98 | NULL                                                                                                                                    |
|   24 | NAT       | -11.5 |   NULL |  NULL |        15 | Rost and Garnero [2006]       | PKKPdiff(a,t)   | North Atlantic(y)                                             |      1 |  NULL |   NULL | NULL                                                                                                                                    |
|   25 | SCS       |    -8 |   NULL |  NULL |      NULL | Yao and Wen [2014]            | PKP(s,t)        | South China Sea(y), Celebes Sea(y)                            |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   26 | Coral     |   -10 |    -35 |    20 |      NULL | Koper and Pyle [2004]         | PKiKP/PcP       | Coral Sea(y)                                                  |   0.67 |    30 |   -106 | NULL                                                                                                                                    |
|   28 | North     |    -5 |    -15 |     0 |      12.5 | Rost and Revenaugh [2003]     | ScP(w)          | Coral Sea(y)                                                  |    1.3 |  42.5 |    -88 | NULL                                                                                                                                    |
|   28 | Coral     |  NULL |   NULL |  NULL |      NULL | Rost and Revenaugh [2003]     | ScP(w)          | Coral Sea(n)                                                  |    1.3 |  42.5 |    -88 | NULL                                                                                                                                    |
|   28 | South     |    -5 |    -25 |    15 |      12.5 | Rost and Revenaugh [2003]     | ScP(w)          | Coral Sea(y)                                                  |    1.3 |  42.5 |    -88 | NULL                                                                                                                                    |
|   30 | SAF       |    -8 |    -27 |  NULL |        40 | Simmons and Grand [2002]      | ScS(t),PcP(t)   | SSouth Atlantic(y)                                            |     10 |    50 |   45.9 | NULL                                                                                                                                    |
|   32 | Coral     |  NULL |   NULL |  NULL |      NULL | Rost and Revenaugh [2001]     | ScP(w)          | Coral Sea(y)                                                  |      1 |    42 |    -89 | NULL                                                                                                                                    |
|   33 | Bin1      |    -7 |    -14 |    14 |        15 | Havens and Revenaugh [2001]   | PcP(m)          | Central America(y)                                            |    1.3 |  25.5 |  -43.4 | NULL                                                                                                                                    |
|   33 | Bin2      |    -8 |    -16 |    16 |        20 | Havens and Revenaugh [2001]   | PcP(m)          | Central America(y)                                            |    1.3 |  30.4 |  -49.2 | NULL                                                                                                                                    |
|   33 | Bin3      |    -7 |    -14 |    14 |        15 | Havens and Revenaugh [2001]   | PcP(m)          | Central America(y)                                            |    1.3 |  36.7 |    -50 | NULL                                                                                                                                    |
|   33 | Bin4      |   -15 |    -45 |     1 |        40 | Havens and Revenaugh [2001]   | PcP(m)          | Central America(w)                                            |    1.3 |  42.7 |  -48.5 | NULL                                                                                                                                    |
|   33 | Bin5      |  NULL |   NULL |  NULL |      NULL | Havens and Revenaugh [2001]   | PcP(m)          | Central America(n)                                            |    1.3 |  47.8 |  -50.8 | NULL                                                                                                                                    |
|   33 | Bin6      |  NULL |   NULL |  NULL |      NULL | Havens and Revenaugh [2001]   | PcP(m)          | Central America(n)                                            |    1.3 |  49.8 |  -54.2 | NULL                                                                                                                                    |
|   34 | yCP       |   -11 |   NULL |  NULL |        55 | Luo et al. [2001]             | PKPab(t,w)      | Central Pacific(y)                                            |    2.5 |  NULL |   NULL | NULL                                                                                                                                    |
|   34 | nCP       |  NULL |   NULL |  NULL |      NULL | Luo et al. [2001]             | PKPab(t,w)      | Central Pacific(n)                                            |    2.5 |  NULL |   NULL | NULL                                                                                                                                    |
|   34 | wCP       |  NULL |   NULL |  NULL |      NULL | Luo et al. [2001]             | PKPab(t,w)      | Central Pacific(w)                                            |    2.5 |  NULL |   NULL | NULL                                                                                                                                    |
|   35 | East      |  NULL |   NULL |  NULL |      NULL | Ni and Helmberger [2001]      | ScS(t,w)        | South Atlantic(w)                                             |      7 | 105.4 |   79.2 | NULL                                                                                                                                    |
|   35 | West      |  NULL |    -30 |  NULL |        20 | Ni and Helmberger [2001]      | ScS(t,w)        | South Atlantic(y)                                             |      7 |  92.2 |  102.5 | NULL                                                                                                                                    |
|   36 | yAF       |   -10 |    -30 |  NULL |        40 | Ni and Helmberger [2001]      | SKS[SKPdS](w)   | Central Africa(y)                                             |     10 |  NULL |   NULL | NULL                                                                                                                                    |
|   36 | nAF       |  NULL |   NULL |  NULL |      NULL | Ni and Helmberger [2001]      | SKS[SKPdS](w)   | Central Africa(n)                                             |     10 |  NULL |   NULL | NULL                                                                                                                                    |
|   37 | CA        |    -6 |   NULL |  NULL |      NULL | Niu and Wen [2001]            | PKP(s)          | Central America(y)                                            |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   38 | CA        |  NULL |   NULL |  NULL |      NULL | Persh et al. [2001]           | ScP/SdP,PcP/PdP | Central America(n)                                            |      1 |  NULL |   NULL | NULL                                                                                                                                    |
|   38 | NP        |  NULL |   NULL |  NULL |      NULL | Persh et al. [2001]           | ScP/SdP,PcP/PdP | Alaska(n)                                                     |      1 |  NULL |   NULL | NULL                                                                                                                                    |
|   40 | AF        |  NULL |    -30 |  NULL |        40 | Helmberger et al. [2000]      | SKS[SKPdS](w)   | Central Africa(y)                                             |     10 |  NULL |   NULL | NULL                                                                                                                                    |
|   40 | EU        |   -10 |    -30 |    20 |        40 | Helmberger et al. [2000]      | SKS[SKPdS](w)   | North Atlantic(y)                                             |     10 |  NULL |   NULL | NULL                                                                                                                                    |
|   42 | Region1   |  NULL |   NULL |  NULL |      NULL | Castle and Hilst [2000]       | ScP/P           | Alaska(n)                                                     |      1 |  32.2 |   96.6 | NULL                                                                                                                                    |
|   42 | Region2   |  NULL |   NULL |  NULL |      NULL | Castle and Hilst [2000]       | ScP/P           | Alaska(n)                                                     |      1 |  24.2 |  121.6 | NULL                                                                                                                                    |
|   42 | Region3   |  NULL |   NULL |  NULL |      NULL | Castle and Hilst [2000]       | ScP/P           | Central America(n)                                            |      1 |  38.5 |  -35.4 | NULL                                                                                                                                    |
|   44 | yTF       |    -9 |    -27 |     5 |        20 | Reasoner and Revenaugh [2000] | ScP(w)          | SouthWest Pacific(y)                                          |   1.17 |    47 |   31.6 | NULL                                                                                                                                    |
|   44 | MAR       |  NULL |   NULL |  NULL |      NULL | Reasoner and Revenaugh [2000] | ScP(w)          | West Pacific(w)                                               |   1.17 |  56.5 |   84.1 | NULL                                                                                                                                    |
|   44 | nTF       |  NULL |   NULL |  NULL |      NULL | Reasoner and Revenaugh [2000] | ScP(w)          | SouthWest Pacific(n)                                          |   1.17 |    47 |   31.6 | NULL                                                                                                                                    |
|   44 | wTF       |  NULL |   NULL |  NULL |      NULL | Reasoner and Revenaugh [2000] | ScP(w)          | SouthWest Pacific(w)                                          |   1.17 |    47 |   31.6 | NULL                                                                                                                                    |
|   46 | AF        |    -8 |   NULL |  NULL |      NULL | Wen [2000]                    | PKP(s)          | North Madagascar(y)                                           |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   47 | Yes1      |   -10 |    -30 |  NULL |         5 | Garnero and Vidale [1999]     | ScP(w)          | SouthWest Pacific(y)                                          |    2.8 |  52.2 |   37.7 | NULL                                                                                                                                    |
|   47 | No1       |  NULL |   NULL |  NULL |      NULL | Garnero and Vidale [1999]     | ScP(w)          | SouthWest Pacific(n)                                          |    1.3 |  47.3 |     25 | NULL                                                                                                                                    |
|   47 | No2       |  NULL |   NULL |  NULL |      NULL | Garnero and Vidale [1999]     | ScP(w)          | West Pacific(n)                                               |    1.1 |    58 |   83.9 | NULL                                                                                                                                    |
|   47 | May1      |  NULL |   NULL |  NULL |      NULL | Garnero and Vidale [1999]     | ScP(w)          | SouthWest Pacific(w)                                          |      1 |  47.1 |   40.5 | NULL                                                                                                                                    |
|   47 | May2      |  NULL |   NULL |  NULL |      NULL | Garnero and Vidale [1999]     | ScP(w)          | SouthWest Pacific(w)                                          |      1 |  43.8 |   25.7 | NULL                                                                                                                                    |
|   48 | EU        |  NULL |   NULL |  NULL |      NULL | Thomas et al. [1999]          | PKP(s)          | Europe(y)                                                     |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   48 | SWP       |  NULL |   NULL |  NULL |      NULL | Thomas et al. [1999]          | PKP(s)          | SouthWest Pacific(y)                                          |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   49 | HA        |  NULL |   NULL |  NULL |      NULL | Courtier et al. [2007]        | ScS(m)          | Central Pacific(w)                                            |      1 |   2.9 |  -54.1 | NULL                                                                                                                                    |
|   50 | Iceland   |   -10 |    -30 |    20 |        40 | Helmberger et al. [1998]      | SKS[SKPdS](w)   | Iceland(y)                                                    |     10 |  NULL |   NULL | NULL                                                                                                                                    |
|   51 | TF        |   -13 |   NULL |  NULL |        60 | Vidale and Hedlin [1998]      | PKP(s)          | SouthWest Pacific(y)                                          |   NULL |  NULL |   NULL | NULL                                                                                                                                    |
|   52 | SP        |   -10 |    -30 |    20 |        40 | Wen and Helmberger [1998]     | SKS[SPdKS](w)   | SouthWest Pacific(y)                                          |     10 |  NULL |   NULL | NULL                                                                                                                                    |
|   53 | WP        |    -7 |   NULL |  NULL |        60 | Wen and Helmberger [1998]     | PKP(w)          | SouthWest Pacific(y)                                          |    2.5 |  NULL |   NULL | NULL                                                                                                                                    |
|   55 | TF        |  NULL |   NULL |  NULL |        14 | Revenaugh and Meyer [1997]    | PcP(m,t)        | Central Pacific(y)                                            |      1 |  81.3 |   40.1 | NULL                                                                                                                                    |
|   55 | IJK       |  NULL |   NULL |  NULL |        11 | Revenaugh and Meyer [1997]    | PcP(m,t)        | Alaska(y)                                                     |      1 |  67.5 |   97.6 | NULL                                                                                                                                    |
|   55 | SA        |  NULL |   NULL |  NULL |         8 | Revenaugh and Meyer [1997]    | PcP(m,t)        | Central America(w)                                            |      1 |  77.1 |  -38.2 | NULL                                                                                                                                    |
|   56 | TF        |    -8 |     -8 |  NULL |        10 | Kohler et al. [1997]          | PcP(w)          | Central Pacific(y)                                            |      1 |  81.8 |   43.2 | NULL                                                                                                                                    |
|   56 | HS        |  NULL |   NULL |  NULL |      NULL | Kohler et al. [1997]          | PcP(w)          | Alaska(n)                                                     |      1 |  76.7 |   93.9 | NULL                                                                                                                                    |
|   62 | TF        |  -7.5 |   NULL |  NULL |        10 | Mori and Helmberger [1995]    | PcP(w)          | Central Pacific(y)                                            |      2 |  83.3 |     41 | NULL                                                                                                                                    |
|   62 | SA        |  NULL |   NULL |  NULL |      NULL | Mori and Helmberger [1995]    | PcP(w)          | Central America(n)                                            |      2 |  83.2 |    -32 | NULL                                                                                                                                    |
|   64 | AK        |  NULL |   NULL |  NULL |      NULL | Vidale and Benz [1992]        | ScP(w)          | Alaska(n)                                                     |      1 |  NULL |   NULL | NULL                                                                                                                                    |
|   65 | WE        |  NULL |   NULL |  NULL |      NULL | Gassner et al. [2015]         | PcP(w)          | Europe(n)                                                     |    1.3 |  NULL |   NULL | NULL                                                                                                                                    |
|   65 | EE        |    -5 |    -15 |    15 |        13 | Gassner et al. [2015]         | PcP(w)          | Europe(y)                                                     |    1.3 |  NULL |   NULL | NULL                                                                                                                                    |
